"","waterph","elev","code"
"1",7.909999847,0.2440000027,0
"2",7.139999866,0.375,0
"3",6.809999943,0.5669999719,0
"4",6.96999979,0.5120000243,0
"5",7.210000038,0.4079999924,0
"6",6.940000057,0.5120000243,0
"7",6.590000153,0.5059999824,0
"8",6.940000057,0.4880000055,0
"9",6.940000057,0.4880000055,0
"10",8.430000305,0.2319999933,0
"11",7.090000153,0.5669999719,0
"12",7.059999943,0.5609999895,0
"13",7.170000076,0.4480000138,0
"14",6.869999886,0.5609999895,0
"15",7.099999905,0.4880000055,0
"16",7.079999924,0.6100000143,1
"17",6.699999809,1.036000013,1
"18",7.269999981,0.503000021,0
"19",7.03000021,0.4569999874,0
"20",6.829999924,0.4359999895,0
"21",6.940000057,0.5429999828,0
"22",7,0.6069999933,1
"23",6.900000095,1.029999971,1
"24",6.800000191,0.9599999785,1
"25",7.230000019,0.6100000143,1
"26",6.579999924,1.297999978,1
"27",6.929999828,0.4329999983,0
"28",6.800000191,0.5789999962,0
"29",6.630000114,0.7319999933,1
"30",8.020000458,0.3050000072,0
"31",8.180000305,0.2800000012,0
"32",6.579999924,0.4300000072,0
"33",7.239999771,0.4420000017,0
"34",6.889999866,0.5109999776,0
"35",7.440000057,0.6830000281,1
"36",6.769999981,0.8379999995,1
"37",6.75,0.90200001,1
"38",7.150000095,0.5960000157,0
"39",6.909999847,0.4850000143,0
"40",7.059999943,0.5490000248,0
"41",7.230000019,0.8529999852,1
"42",7.019999981,0.7319999933,1
"43",7.079999924,0.7799999714,1
"44",6.380000114,0.5490000248,0
"45",7.039999962,0.4359999895,0
"46",6.829999924,0.8899999857,1
"47",6.78000021,0.8529999852,1
"48",6.71999979,0.9509999752,1
"49",7.429999828,0.8529999852,1
"50",7.079999924,0.8840000033,1
"51",6.960000038,0.8289999962,1
"52",7.03000021,0.9359999895,1
"53",8.279999733,0.4149999917,0
"54",7.03000021,0.6710000038,1
"55",8.380000114,0.4269999862,0
"56",7.03000021,0.3289999962,0
"57",6.630000114,1.008999944,1
"58",6.96999979,0.65200001,1
"59",6.860000134,0.6890000105,1
"60",6.869999886,0.7319999933,1
"61",7.389999866,0.6610000134,1
"62",7.849999905,0.621999979,1
"63",7.670000076,0.5970000029,0
"64",8.199999809,0.5,0
"65",7.96999979,0.621999979,1
"66",7.340000153,0.6710000038,1
"67",7.360000134,0.9139999747,1
"68",7.230000019,0.2680000067,0
"69",6.920000076,0.6610000134,1
"70",7.079999924,0.6460000277,1
"71",7.320000172,0.5490000248,0
"72",7.400000095,0.4269999862,0
"73",6.949999809,0.4269999862,0
"74",7.079999924,0.5519999862,0
"75",7.199999809,0.4449999928,0
